fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.3111111111111111,0.18988764044943823,0.4287671232876712,0.29591836734693877,0.35060240963855427,0.3926829268292683,0.19491525423728814,0.5037037037037126,0.824324324324324,0.703076923076923,0.3212765957446809,6
0.5666666666666668,0.28876404494382024,0.5931506849315069,0.1979591836734694,0.2734939759036145,0.451219512195122,0.3101694915254237,0.3425925925925921,0.3594594594594597,0.7892307692307694,0.5085106382978724,7
0.6,0.4775280898876405,0.5602739726027398,0.49183673469387756,0.5048192771084339,0.5682926829268293,0.4118644067796611,0.529629629629634,0.3810810810810813,0.5676923076923077,0.5595744680851065,6
0.37777777777777777,0.450561797752809,0.363013698630137,0.49183673469387756,0.6012048192771084,0.23658536585365855,0.3169491525423729,0.6222222222222281,0.6729729729729731,0.5061538461538463,0.25319148936170216,6
0.33333333333333337,0.33370786516853934,0.5164383561643836,0.6224489795918366,0.3795180722891567,0.5292682926829269,0.3440677966101695,0.21111111111111083,0.5324324324324322,0.5800000000000001,0.8148936170212767,7
0.2888888888888889,0.5494382022471911,0.18767123287671234,0.3285714285714285,0.3795180722891567,0.6268292682926829,0.3169491525423729,0.48425925925926383,0.6189189189189187,0.703076923076923,0.23617021276595754,6
0.2888888888888889,0.5943820224719102,0.12191780821917808,0.29591836734693877,0.2060240963855422,0.17804878048780487,0.13389830508474576,0.4555555555555567,0.6837837837837837,0.3338461538461539,0.23617021276595754,5
0.48888888888888893,0.39662921348314606,0.4397260273972603,0.5571428571428572,0.553012048192771,0.4902439024390244,0.39830508474576276,0.6407407407407448,0.564864864864865,0.813846153846154,0.30425531914893633,6
0.8222222222222221,0.27977528089887643,0.7027397260273973,0.6224489795918366,0.5048192771084339,0.7634146341463415,0.5135593220338983,0.825925925925933,0.5108108108108106,0.8261538461538463,0.45744680851063846,7
0.38888888888888895,0.15393258426966294,0.4726027397260274,0.589795918367347,0.3602409638554218,0.37317073170731707,0.4525423728813559,0.31666666666667076,0.564864864864865,0.653846153846154,0.6276595744680853,6
